"자전거번호","등록일시","고장구분","등록날짜","자전거","년도","일자"
"SPB-12884","2018-06-23 0:05","기타 ","2018-06-23",12884,2018,174
"SPB-12884","2018-10-22 18:58","체인","2018-10-22",12884,2018,295
"SPB-12884","2018-11-18 19:46","기타 ","2018-11-18",12884,2018,322
"SPB-12911","2018-08-03 15:22","타이어 ","2018-08-03",12911,2018,215
"SPB-12911","2018-08-04 4:11","타이어 ","2018-08-04",12911,2018,216
"SPB-12914","2018-06-27 20:29","안장","2018-06-27",12914,2018,178
"SPB-13002","2018-05-21 19:09","안장","2018-05-21",13002,2018,141
"SPB-13002","2018-07-21 9:02","단말기","2018-07-21",13002,2018,202
"SPB-13108","2018-10-24 22:20","체인","2018-10-24",13108,2018,297
"SPB-13225","2018-05-25 23:45","기타 ","2018-05-25",13225,2018,145
"SPB-13225","2018-12-06 17:31","타이어 ","2018-12-06",13225,2018,340
"SPB-13272","2018-09-17 23:22","타이어 ","2018-09-17",13272,2018,260
"SPB-13390","2018-11-14 21:20","안장","2018-11-14",13390,2018,318
"SPB-13494","2018-10-23 8:18","페달","2018-10-23",13494,2018,296
"SPB-13494","2018-11-01 13:58","페달","2018-11-01",13494,2018,305
"SPB-13494","2018-11-02 23:51","안장","2018-11-02",13494,2018,306
"SPB-13494","2018-11-03 19:31","체인","2018-11-03",13494,2018,307
"SPB-13508","2018-08-04 21:15","체인","2018-08-04",13508,2018,216
"SPB-13530","2018-09-12 5:03","단말기","2018-09-12",13530,2018,255
"SPB-13574","2018-06-04 20:31","단말기","2018-06-04",13574,2018,155
"SPB-13615","2018-10-08 0:41","페달","2018-10-08",13615,2018,281
"SPB-13710","2018-11-02 10:44","체인","2018-11-02",13710,2018,306
"SPB-13722","2018-11-11 9:39","체인","2018-11-11",13722,2018,315
"SPB-13734","2018-09-13 16:58","안장","2018-09-13",13734,2018,256
"SPB-13758","2018-09-18 2:50","타이어 ","2018-09-18",13758,2018,261
"SPB-13767","2018-10-15 8:57","안장","2018-10-15",13767,2018,288
"SPB-13767","2018-10-17 21:40","안장","2018-10-17",13767,2018,290
"SPB-13847","2018-09-11 20:18","체인","2018-09-11",13847,2018,254
"SPB-13852","2018-09-11 7:48","기타 ","2018-09-11",13852,2018,254
"SPB-13852","2018-09-25 15:39","기타 ","2018-09-25",13852,2018,268
"SPB-13858","2018-09-29 2:43","기타 ","2018-09-29",13858,2018,272
"SPB-13860","2018-11-09 12:29","기타 ","2018-11-09",13860,2018,313
"SPB-13905","2018-07-18 0:40","단말기","2018-07-18",13905,2018,199
"SPB-14061","2018-10-04 14:49","체인","2018-10-04",14061,2018,277
