"자전거번호","등록일시","고장구분","등록날짜","자전거"
"SPB-05619","2018-10-12 0:16","단말기","2018-10-12",5619
"SPB-05619","2019-06-03 0:10","단말기","2019-06-03",5619
"SPB-05631","2018-10-07 20:10","기타 ","2018-10-07",5631
"SPB-05631","2018-10-09 16:45","기타 ","2018-10-09",5631
"SPB-05637","2019-05-13 7:44","타이어 ","2019-05-13",5637
"SPB-05637","2019-05-14 18:02","기타 ","2019-05-14",5637
"SPB-05659","2019-10-01 17:02","체인","2019-10-01",5659
"SPB-05659","2019-10-16 2:22","체인","2019-10-16",5659
"SPB-05683","2018-05-28 12:22","페달","2018-05-28",5683
"SPB-05683","2019-07-02 21:57","안장","2019-07-02",5683
"SPB-05683","2019-07-25 9:27","체인","2019-07-25",5683
"SPB-05756","2019-10-26 16:20","안장","2019-10-26",5756
"SPB-05756","2019-10-29 11:11","타이어 ","2019-10-29",5756
"SPB-05861","2018-07-15 11:04","안장","2018-07-15",5861
"SPB-05861","2019-09-23 18:26","체인","2019-09-23",5861
"SPB-05898","2018-05-18 17:08","안장","2018-05-18",5898
"SPB-05898","2019-08-27 19:28","기타 ","2019-08-27",5898
"SPB-05905","2019-08-01 18:15","타이어 ","2019-08-01",5905
"SPB-05905","2019-10-31 22:56","안장","2019-10-31",5905
"SPB-05910","2018-09-29 17:03","체인","2018-09-29",5910
"SPB-05910","2018-10-02 18:45","페달","2018-10-02",5910
"SPB-06016","2018-09-24 20:37","기타 ","2018-09-24",6016
"SPB-06016","2019-07-22 11:19","체인","2019-07-22",6016
"SPB-06016","2019-08-06 17:41","체인","2019-08-06",6016
"SPB-06016","2019-09-27 18:17","기타 ","2019-09-27",6016
"SPB-06058","2018-08-19 18:46","타이어 ","2018-08-19",6058
"SPB-06058","2019-04-14 23:53","타이어 ","2019-04-14",6058
"SPB-06058","2019-05-10 22:06","단말기","2019-05-10",6058
"SPB-06111","2018-09-10 21:06","기타 ","2018-09-10",6111
