"자전거번호","등록일시","고장구분","등록날짜"
"SPB-07435","2018-04-29 17:45","기타 ","2018-04-29"
"SPB-07438","2018-09-29 3:08","단말기","2018-09-29"
"SPB-07465","2018-07-24 21:44","체인","2018-07-24"
"SPB-07482","2018-08-06 8:09","체인","2018-08-06"
"SPB-07514","2018-09-12 12:43","타이어 ","2018-09-12"
"SPB-07517","2018-09-14 8:32","체인","2018-09-14"
"SPB-07518","2018-12-27 8:47","안장","2018-12-27"
"SPB-07547","2018-12-17 5:59","안장","2018-12-17"
"SPB-07559","2018-12-09 12:29","체인","2018-12-09"
"SPB-07585","2018-11-10 21:24","단말기","2018-11-10"
"SPB-07586","2018-08-19 20:47","단말기","2018-08-19"
"SPB-07589","2018-09-18 8:23","안장","2018-09-18"
"SPB-07589","2018-09-18 0:16","단말기","2018-09-18"
"SPB-07591","2018-10-11 18:59","타이어 ","2018-10-11"
"SPB-07594","2018-06-30 1:24","기타 ","2018-06-30"
"SPB-07623","2018-11-12 6:03","안장","2018-11-12"
"SPB-07657","2018-04-19 20:55","기타 ","2018-04-19"
"SPB-07657","2018-10-20 11:26","기타 ","2018-10-20"
"SPB-07663","2018-07-18 2:10","타이어 ","2018-07-18"
"SPB-07668","2018-07-12 20:23","기타 ","2018-07-12"
"SPB-07687","2018-10-04 11:25","안장","2018-10-04"
"SPB-07703","2018-07-07 21:32","기타 ","2018-07-07"
"SPB-07738","2018-09-01 19:34","타이어 ","2018-09-01"
"SPB-07756","2018-12-20 20:26","단말기","2018-12-20"
"SPB-07770","2018-05-07 23:14","단말기","2018-05-07"
"SPB-07795","2018-09-07 16:40","단말기","2018-09-07"
